ACCE_ABSORB_COST	Pret Absorbtie: %d
DETAILS_ATTBONUS_CLAW	Vulnerabil Ghearã
DETAILS_ATTBONUS_DAGGER	Vulnerabil Pumnal
DETAILS_ATTBONUS_FAN	Vulnerabil Evantai
DETAILS_ATTBONUS_SWORD	Vulnerabil Sabie
DETAILS_ATTBONUS_TWOHAND	Vulnerabil Douã Mâini
DETAILS_CATE_1	Daune/Apãrare
DETAILS_CATE_2	Bonus element
DETAILS_CATE_3	Bonus clasã
DETAILS_CATE_4	Bonus armã
DETAILS_CATE_5	Alte bonusuri
DETAILS_CATE_6	Bonus special
DETAILS_HIT_PCT	Precizie
DETAILS_RESIST_MOUNT_FALL	Rezistenþã la alunecare
DETAILS_TITLE	Detalii
DETAILS_TOOLTIP_0	Tare vs pietre Metin: Daune mai mari împotriva pietrelor Metin.
DETAILS_TOOLTIP_1	Tare vs Semi-Oameni: Daune mai mari împotriva Semi-Oameni.
DETAILS_TOOLTIP_10	Tare împotriva Monºtrilor de Deºert: provoacã daune mai mari monºtrilor de deºert.
DETAILS_TOOLTIP_11	Tare împotriva Insectelor: provoacã daune mai mari împotriva insectelor.
DETAILS_TOOLTIP_12	Mãreºte valoarea atacului.
DETAILS_TOOLTIP_13	Mãreºte valoarea apãrãrii.
DETAILS_TOOLTIP_14	Mãreºte paguba medie executatã pe inamici în atac.
DETAILS_TOOLTIP_15	Rezistenþã vs pagubã medie: reduce daunele primite în atac.
DETAILS_TOOLTIP_16	Mãreºte daunele executate de o abilitate.
DETAILS_TOOLTIP_17	Rezistenþã vs pagubã abilitate. Reduce daunele primite de la o abilitate.
DETAILS_TOOLTIP_18	Mãreºte valoarea atacului fizic ºi magic.
DETAILS_TOOLTIP_19	Mãreºte daunele atacului magic executat pe inamici în atac.
DETAILS_TOOLTIP_2	Rezistenþã vs Semi-Oameni: Reduce daunele primite de la Semi-Oameni.
DETAILS_TOOLTIP_20	Creºte ºansa unei lovituri critice.
DETAILS_TOOLTIP_21	Probabilitate loviturã pãtrunzãtoare: Creºte ºansa de a executa o loviturã pãtrunzãtoare.
DETAILS_TOOLTIP_22	Rezistenþã vs loviturã criticã: Reduce daunele fãcute de o loviturã criticã.
DETAILS_TOOLTIP_23	Rezistenþã vs loviturã pãtrunzãtoare: Reduce daunele fãcute de o loviturã pãtrunzãtoare.
DETAILS_TOOLTIP_24	Reduce daunele primite de la anumiþi monºtri.
DETAILS_TOOLTIP_25	Reduce daunele primite de la anumiþi monºtri.
DETAILS_TOOLTIP_26	Rezistenþã la întuneric: Reduce daunele primite de la anumiþi monºtri.
DETAILS_TOOLTIP_27	Reduce daunele primite de la anumiþi monºtri.
DETAILS_TOOLTIP_28	Reduce daunele primite de la anumiþi monºtri.
DETAILS_TOOLTIP_29	Reduce daunele primite de la anumiþi monºtri.
DETAILS_TOOLTIP_3	Tare vs Orci: Daune mai mari împotriva orcilor.
DETAILS_TOOLTIP_30	Creºte daunele fãcute cu puterea fulgerului.
DETAILS_TOOLTIP_31	Creºte daunele fãcute cu puterea gheþii.
DETAILS_TOOLTIP_32	Creºte daunele fãcute cu puterea întunecatã.
DETAILS_TOOLTIP_33	Creºte daunele fãcute cu puterea focului.
DETAILS_TOOLTIP_34	Creºte daunele fãcute cu puterea vântului.
DETAILS_TOOLTIP_35	Creºte daunele fãcute cu puterea pãmântului.
DETAILS_TOOLTIP_36	Tare vs Rãzboinici: Daune mai mari împotriva rãzboinicilor.
DETAILS_TOOLTIP_37	Tare vs Ninja: Daune mai mari împotriva ninja.
DETAILS_TOOLTIP_38	Tare vs Sura: Daune mai mari împotriva sura.
DETAILS_TOOLTIP_39	Tare vs ªamani: Daune mai mari împotriva ºamanilor.
DETAILS_TOOLTIP_4	Tare vs Vampiri: Daune mai mari împotriva vampirilor.
DETAILS_TOOLTIP_40	Tare vs Lycani: Daune mai mari împotriva lycanilor.
DETAILS_TOOLTIP_41	ªansã de apãrare la atacurile primite de la rãzboinici: Reduce daunele primite de la rãzboinici.
DETAILS_TOOLTIP_42	ªansã de apãrare la atacurile primite de la ninja: Reduce daunele primite de la ninja.
DETAILS_TOOLTIP_43	ªansã de apãrare la atacurile primite de la sura: Reduce daunele primite de la sura.
DETAILS_TOOLTIP_44	ªansã de apãrare la atacurile primite de la ºaman: Reduce daunele primite de la ºaman.
DETAILS_TOOLTIP_45	ªansã de apãrare la atacurile primite de la lycan: Reduce daunele primite de la lycan.
DETAILS_TOOLTIP_46	Reduce daunele produse de o sabie.
DETAILS_TOOLTIP_47	Reduce daunele produse de o armã douã-mâini.
DETAILS_TOOLTIP_48	Reduce daunele produse de un pumnal.
DETAILS_TOOLTIP_49	Reduce daunele produse de o ghearã.
DETAILS_TOOLTIP_5	Tare vs Monºtri: Daune mai mari împotriva monºtrilor.
DETAILS_TOOLTIP_50	Reduce daunele produse de un clopot.
DETAILS_TOOLTIP_51	Reduce daunele produse de un evantai.
DETAILS_TOOLTIP_52	Reduce daunele produse de un arc cu sãgeþi
DETAILS_TOOLTIP_53	Creºte ºansa de a bate un oponent.
DETAILS_TOOLTIP_54	Creºte ºansa de a încetini un oponent.
DETAILS_TOOLTIP_55	Creºte ºansa de a otrãvi un oponent.
DETAILS_TOOLTIP_56	Reduce daunele produse de otravã.
DETAILS_TOOLTIP_57	Creºte ºansa de a executa un atac sângeros.
DETAILS_TOOLTIP_58	Rezistenþã vs atac sângeros: Reduce daunele produse de atac sângeros.
DETAILS_TOOLTIP_59	Furã PV de la oponenþi atunci când îi loveºti.
DETAILS_TOOLTIP_6	Tare împotriva Monºtrilor Zodiac: Daune mai mari împotriva monºtrilor Zodiac.
DETAILS_TOOLTIP_60	Furã PM de la oponenþi atunci când îi loveºti.
DETAILS_TOOLTIP_61	Mãreºte recuperarea punctelor de viaþã.
DETAILS_TOOLTIP_62	Mãreºte recuperarea punctelor de magie.
DETAILS_TOOLTIP_63	ªansã de blocare a unui atac fizic: Creºte ºansa de a evita un atac fizic.
DETAILS_TOOLTIP_64	ªansã de evitare a unui atac cu sãgeþi: Creºte ºansa de a evita un atac cu sãgeþi sau de la distanþã de la un monstru.
DETAILS_TOOLTIP_65	ªansã de a reflecta lovituri fizice: O parte dintre daunele fizice de la oponent sunt reflectate cãtre el.
DETAILS_TOOLTIP_66	Recuperare PV când omori: Punctele tale de viaþã cresc când omori un oponent.
DETAILS_TOOLTIP_67	Recuperare PM când omori: Punctele tale de magie cresc când omori un oponent.
DETAILS_TOOLTIP_68	ªansa de a câºtiga experienþã dublã: Creºte ºansa de a câºtiga bonus de EXP atunci când omori un oponent.
DETAILS_TOOLTIP_69	ªansã la drop dublu Yang: Creºte ºansa de a primi de douã ori cantiatea de Yang.
DETAILS_TOOLTIP_7	Tare vs Animale: Daune mai mari împotriva animalelor sãlbatice.
DETAILS_TOOLTIP_70	ªansã la drop obiecte: Creºte ºansa de a primi de douã ori numãrul obiectelor.
DETAILS_TOOLTIP_71	Mãreºte valoarea atacului.
DETAILS_TOOLTIP_72	Mãreºte valoarea apãrãrii.
DETAILS_TOOLTIP_73	Creºte colectarea de experienþã.
DETAILS_TOOLTIP_74	ªansã drop obiecte: Îþi dubleazã ºansa de a colecta obiecte.
DETAILS_TOOLTIP_75	ªansã drop Yang: Îþi dubleazã ºansa de a colecta mai mult Yang.
DETAILS_TOOLTIP_76	Reduce daunele primite de la atacul magic.
DETAILS_TOOLTIP_77	Reduce rezistenþa magicã a oponenþilor.
DETAILS_TOOLTIP_8	Tare vs Ezoterici: Daune mai mari împotriva ezotericilor.
DETAILS_TOOLTIP_9	Tare vs Demoni: Daune mai mari împotriva demonilor.
DETAILS_TOOLTIP_ATTBONUS_BELL	Vulnerabil apãrare Clopot: Reduce apãrarea oponentului în faþa clopotului.
DETAILS_TOOLTIP_ATTBONUS_BOW	Vulnerabil apãrare Sãgeatã: Reduce apãrarea oponentului în faþa sãgeþilor.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Vulnerabil apãrare Ghearã: Reduce apãrarea oponentului în faþa ghearei.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Vulnerabil apãrare Pumnal: Reduce apãrarea oponentului în faþa pumnalului.
DETAILS_TOOLTIP_ATTBONUS_FAN	Vulnerabil apãrare Evantai: Reduce apãrarea oponentului în faþa evantaiului.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Vulnerabil apãrare Sabie: Reduce apãrarea oponentului în faþa sabiei.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Vulnerabil apãrare Douã Mâini: Reduce apãrarea oponentului în faþa armelor douã mâini.
DETAILS_TOOLTIP_HIT_PCT	Creºte ºansa de a lovi inamicul
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Rezistenþã la alunecare: Reduce ºansa de a aluneca de pe mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nu poti muta niciun obiect cand ai o cerere in asteptare.
DO_NOT_INSERT_UPBRINGING_PET	Însoþitorul activ nu poate fi selectat.
DO_YOU_BUY_ITEM1	Vrei sã cumperi %s pentru %s Yang?
DO_YOU_BUY_ITEM2	Vrei sã cumperi %s (%s buc) pentru %s Yang?
DO_YOU_BUY_ITEM3	Doreºti sã cumperi %s pentru %s Won ºi %s Yang?
DO_YOU_BUY_ITEM4	Doreºti sã cumperi %s (%s buc) pentru %s Won ºi %s Yang?
DO_YOU_DROP_MONEY	Vrei sã renunþi la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sã vinzi %s pentru %s Yang?
DO_YOU_SELL_ITEM2	Vrei sã vinzi %s (%s buc) pentru %s Yang?
DRAGON_SOUL_CANNOT_REFINE	Aceasta Piatra Dragon nu poate fi rafinata.
DRAGON_SOUL_CANNOT_REFINE_MORE	Aceasta Piatra Dragon a ajuns deja la nivelul maxim.
DRAGON_SOUL_EQUIP_WARNING1	Este dificil sa inlaturi o Piatra Dragon odata ce a fost atasata.
DRAGON_SOUL_EQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_EXPIRED	Piatra Dragon Expirata
DRAGON_SOUL_INVALID_DRAGON_SOUL	Aceasta este o Piatra Dragon gresita.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Aceasta nu este o Piatra Dragon.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Aceasta nu este Piatra Dragon corecta.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nu ai suficient material pentru rafinare.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Pentru %s\nai nevoie: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Nu ai suficient Yang pentru a schimba bonusul.
DRAGON_SOUL_NOT_MATCHED_SLOT	Piatra Dragon nu se potriveste in acest slot.
DRAGON_SOUL_STEP_LEVEL1	Claritate: opaca,
DRAGON_SOUL_STEP_LEVEL2	Claritate: clara,
DRAGON_SOUL_STEP_LEVEL3	Claritate: perfecta,
DRAGON_SOUL_STEP_LEVEL4	Claritate: stralucitoare,
DRAGON_SOUL_STEP_LEVEL5	Claritate: excelenta,
DRAGON_SOUL_STRENGTH	Nivel: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Piatra Dragon poate fi distrusa in acest proces.
DRAGON_SOUL_UNEQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_UNMATCHED_SLOT	Acest slot este gresit.
DRAGON_SOUL_UNQUALIFIED	Inca nu poti folosi alchimia Pietrei Dragon.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poþi arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi renunþa la un obiect atribuit caracterului dacã magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poþi renunþa la maxim 999 Yang.
DS_SYSTEM_MSG_1	Ai nevoie %s (%dx).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Închide toate ferestrele înainte de a deschide Licitaþii Rapide.
EMOTION_ALCOHOL	Noroc!
EMOTION_ANGRY	Neplãcut
EMOTION_ATTRACTIVE	Tentaþie
EMOTION_BANTER	Rãutãcios
EMOTION_BUSY	Stres
EMOTION_CALL	Strigã
EMOTION_CELEBRATION	Petrecere
EMOTION_CHARGING	Încãrcare
EMOTION_CHEERS_1	Bucurie 1
EMOTION_CHEERS_2	Bucurie 2
EMOTION_CHEERUP	A se bucura
EMOTION_CHOOSE_ONE	Alege o þintã.
EMOTION_CLAP	Aplauze
EMOTION_CLAP_KISS	Sãrut
EMOTION_CONGRATULATION	Acord
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Aþipit
EMOTION_EXERCISE	Încãlzit
EMOTION_FORGIVE	Iertare
EMOTION_FRENCH_KISS	Sarut Frantuzesc
EMOTION_HUNGRY	Înfometat
EMOTION_JOY	Bucurie
EMOTION_LETTER	Scrisoare de Dragoste
EMOTION_NOSAY	Mut
EMOTION_PUSH_UP	Flotãri
EMOTION_SAD	Trist
EMOTION_SELFIE	Selfie
EMOTION_SHY	Refuz
EMOTION_SIREN	Sirenã
EMOTION_SLAP	Loviturã
EMOTION_SMH	Turn Sung Mahi
EMOTION_WEATHER_1	Lumina Soarelui
EMOTION_WEATHER_2	Curcubeu
EMOTION_WEATHER_3	Lunã
EMOTION_WHIRL	Confuz
EMPIRE_A	Regatul Shinsoo
EMPIRE_B	Regatul Chunjo
EMPIRE_C	Regatul Jinno
EMPIRE_SELECT_MODE	Alege regat
EXCHANGE_CANNOT_GIVE	Nu poþi negocia acest obiect.
EXCHANGE_CANT_EDIT_MONEY	Acum nu mai poti modifica suma.
EXCHANGE_FAILURE_EQUIP_ITEM	Nu poti schimba Obiecte atribuite caracterului.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Schimb cu %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Mai ai nevoie de %d Extindere Inventar.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Inventarul tãu a atins numãrul maxim de extinderi.
EXINVEN_USE_ITEM_QUESTION	Doreºti sã extinzi inventarul folosind %d Extindere Inventar?
FISHING_FAILURE	Ai pierdut momeala pentru pescuit.
FISHING_NOTIFY1	Se pare ca %s a muºcat.
FISHING_NOTIFY2	Se pare cã s-a prins %s.
FISHING_RENEWAL_CANNOT_EMOTION	Nu poþi folosi emoþiile în timp ce pescuieºti.
FISHING_RENEWAL_CANNOT_OPEN_1	Nu poþi deschide în timp ce pescuieºti.
FISHING_RENEWAL_CANNOT_OPEN_2	Nu poþi efectua aceastã acþiune în timpul pescuitului.
FISHING_RENEWAL_QUESTION	Ai o muºcãturã. Doreºti sã prinzi?
FISHING_RENEWAL_TIMEOUT	Ai aºteptat prea mult. Peºtele a fugit.
FISHING_SUCCESS1	Ai prins %s.
FISHING_SUCCESS2	Ai scos %s din apa!
FISHING_UNKNOWN	Ceva a muscat dar nu ºtiu ce anume.
FISHING_WRONG_PLACE	Nu pot sã pescuiesc aici.
FLOWER_EVENT_USE_ITEM_TEXT1	Doreºti sã înlocuieºti efectul activ?
FLOWER_EVENT_USE_ITEM_TEXT2	Încercarea poate eºua cauzând ofilirea florii.
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru bãrbaþi
FRAGMENT_COMB_COST	Costuri combunaþie: %s
GAME_CANNOT_MINING	Nu poþi sã sapi dupã minereu în timp ce cãlãreºti.
GAME_CANNOT_PICK_ITEM	Nu poþi culege acest obiect, pentru ca nu a fost capturat de tine.
GAME_GUILDWAR_NOW_JOIN	Vrei sã te alãturi rãzboiului breslei?
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstaleazã DirectX 8.1 sau peste.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa graficã pentru rularea jocului.\nVerificã daca placa VGA e instalatã corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa graficã nu a putut fi iniþializatã.nVerificã dacã deþii o placã VGA.\nAlternativ poþi sã activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa graficã nu suportã 32bit.\nSchimbã pe 16bit sau foloseºte full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principalã nu a putut fi realizatã.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_NETWORK	Legatura la reþea nu s-a realizat.\nVerificã legãtura la internet.
GAME_PICK_MONEY	Ai primit %d Yang.
GEM_SYSTEM_ADD_SLOT	Cerinþe obiect: %s.\nDoreºti sã foloseºti %d dintre acestea pentru a debloca un loc adiþional?
GEM_SYSTEM_BUY_ITEM	Doreºti sã cumperi acest obiect?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Nu ai suficiente obiecte Actualizeazã Piaþã Gaya.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Nu ai suficiente Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nu mai ai locuri de deblocat.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Deschide Piaþã Gaya mai întâi.
GEM_SYSTEM_PICK_GEM	[Gaya] Cantitate Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Vrei sã actualizezi magazinul?
GIVEUP_QUESTION	Chiar vrei sã renunþi?
GUILDBANK_CLEARBANK	Atenþie: Depozitul Breslei trebuie golit!
GUILDBANK_DONT_MONEY_OUT	Nu ai Yang în banca breslei!
GUILDBANK_GOLD_IN	Depunere
GUILDBANK_GOLD_OUT	Retragere
GUILDBANK_ITEM_IN	Înmagazineazã
GUILDBANK_ITEM_OUT	Înlaturã
GUILDBANK_MONEYIN	Depunere Yang
GUILDBANK_MONEYOUT	Retragere Yang
GUILDBANK_NOTUSE	Nu ai permisiunile necesare.
GUILDBANK_NOT_ENOUGH_MONEY	Nu ai Yang suficient pentru depunere.
GUILDBANK_OVER_INCOME	Limitã atinsã pe cont.
GUILDBANK_OVER_MONEY	Contul breslei este plin.
GUILDLAND_ABANDON	Abandoneazã Teritoriu Breaslã
GUILDLAND_ABANDON_TEXT1	Vrei sã abandonezi teritoriul breslei?
GUILDLAND_ABANDON_TEXT2	Sigur vrei sã abandonezi teritoriul breslei?
GUILDLAND_ABANDON_TEXT3	Depozitul breslei ºi toate clãdirile vor fi eliminate.
GUILDLAND_ACCEPT	Da
GUILDLAND_DONTHAVE_LAND	Nu ai niciun teritoriu de breaslã.
GUILDLAND_NOT	Nu
GUILDLIST_APPLICANT	Doreºti sã continui?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Înãlþimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Înãlþimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Înãlþimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Înãlþimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suportã aceastã imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiazã fiºierele în directorul metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectatã.
GUILDWAR_ALL	Bãtãlii (B)
GUILDWAR_CTF_TITLE	Captureazã Steag
GUILDWAR_DRAW	Remize (R)
GUILDWAR_GAINSCORE_FIFTY	50 puncte
GUILDWAR_GAINSCORE_HUNDRED	100 puncte
GUILDWAR_GAINSCORE_THIRTY	30 puncte
GUILDWAR_GAMETIME_SIXTY	60 minute
GUILDWAR_GAMETIME_TEN	10 minute
GUILDWAR_GAMETIME_THIRTY	30 minute
GUILDWAR_INPUT_OTHERGUILD	Te rugãm introdu breasla oponentã.
GUILDWAR_LADDER	Puncte Rang
GUILDWAR_LIMIT_MEMBER_FIVE	Minim 5 participanþi.
GUILDWAR_LOSE	Pierderi (P)
GUILDWAR_NORMAL_TITLE	Luptã de Câmp
GUILDWAR_OVER_MEMBERCOUNT	Numãrul limitã de membri a fost atins.
GUILDWAR_QUESTION_LINE_1	Breasla %s a declarat breslei tale rãzboi,
GUILDWAR_QUESTION_LINE_2	Accepþi? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d B, %d V, %d P, %d R
GUILDWAR_SELECT_MEMBER_COUNT	Alege numãrul de participanþi.
GUILDWAR_TYPE_DEFENSE	Scut Luptã
GUILDWAR_TYPE_TIGER	Anihilare
GUILDWAR_TYPE_TIME	Timp Atac
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Luptã în Arenã
GUILDWAR_WIN	Victorii (V)
GUILDWAR_WIN_FIVE	5 runde
GUILDWAR_WIN_ONE	1 rundã
GUILDWAR_WIN_THREE	3 runde
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Depozit Breaslã
GUILDWINDOW_BUTTON_BASEABANDON	Abandoneazã Teritoriu Breaslã
GUILDWINDOW_BUTTON_BASEDEAL	Vinde Teritoriu Breaslã
GUILDWINDOW_BUTTON_BOARD	Mesajele Breslei
GUILDWINDOW_BUTTON_CHANGEMASTER	Schimbã Lider Breaslã
GUILDWINDOW_BUTTON_DECLARE	Declarã Rãzboi
GUILDWINDOW_BUTTON_DONATE	Doneazã
GUILDWINDOW_BUTTON_GOLDIN	Depunere
GUILDWINDOW_BUTTON_GOLDOUT	Retragere
GUILDWINDOW_BUTTON_GRADE	Seteazã Permisiuni
GUILDWINDOW_BUTTON_GUILDLIST	Listã Breaslã
GUILDWINDOW_BUTTON_HEALGSP	Reface Putere Zeul Dragon
GUILDWINDOW_BUTTON_INFO	Informaþii Breaslã
GUILDWINDOW_BUTTON_LANDINFO	Informaþii Teritoriu
GUILDWINDOW_BUTTON_MARK	Încarcã Simbol Breaslã
GUILDWINDOW_BUTTON_MEMBER	Membru
GUILDWINDOW_BUTTON_OFFER	Doneazã EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Înlãturã Membru
GUILDWINDOW_BUTTON_SKILL	Abilitãþi Breaslã
GUILDWINDOW_BUTTON_SYMBOL	Încarcã Steag Breaslã
GUILDWINDOW_BUY_GUILD_LAND	Cumpãrã Teren
GUILDWINDOW_CHANGE_BLACKSMITH	Schimbã Profesia
GUILDWINDOW_CHANGE_OBJECT	Reconstrucþie
GUILDWINDOW_CHANGE_SMELTER	Schimbã Prelucrator de jad
GUILDWINDOW_CREATE_OBJECT	Construcþie
GUILDWINDOW_DEAL_GUILD_LAND	Vinde Teren
GUILDWINDOW_GRADE_BANK	Se poate utiliza banca breslei ºi depozitul
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Poate înlãtura membri din breaslã
GUILDWINDOW_GRADE_GRADENAME	Nume Rang
GUILDWINDOW_GRADE_GRADENUMBER	Numãr Rang
GUILDWINDOW_GRADE_GUILDWAR	Poate alege membri combatanþi
GUILDWINDOW_GRADE_INVITEAUTHORITY	Poate accepta jucãtori în breaslã
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Poate compune mesaje breaslã
GUILDWINDOW_GRADE_SKILLAUTHORITY	Poate folosi abilitãþile breslei
GUILDWINDOW_INFO_LEVEL10	A crescut nr. max. membri
GUILDWINDOW_INFO_LEVEL15	Red.: Puterea Zeului Dragon
GUILDWINDOW_INFO_LEVEL20	Bancã: Scutire de Taxe
GUILDWINDOW_INFO_LEVEL5	+5% EXP la donaþii breaslã
GUILDWINDOW_LAND_TAX	Arendã
GUILDWINDOW_LIST_ALL	Toate Regatele
GUILDWINDOW_LIST_ALREADY_REGISTER	[Breaslã] Deja ai aplicat.
GUILDWINDOW_LIST_APPLICANT_LIST	Listã Aplicaþii
GUILDWINDOW_LIST_CHRACTER_JOB	Clasã
GUILDWINDOW_LIST_CHRACTER_LV	Nivel
GUILDWINDOW_LIST_CHRACTER_NAME	Nume Caracter
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Sub-clasã
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membru
GUILDWINDOW_LIST_GUILD_LIST	Listã Breaslã
GUILDWINDOW_LIST_GUILD_LV	Nivel
GUILDWINDOW_LIST_GUILD_NAME	Breaslã
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Breaslã] Te rugãm sã introduci un nume de breaslã.
GUILDWINDOW_LIST_LADDER	Puncte Rang
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Breaslã] Breasla nu este publicã.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aplicaþie
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Listã Breaslã
GUILDWINDOW_LIST_RANKING	Poziþie
GUILDWINDOW_LIST_RANKING_COUNT	Poziþie
GUILDWINDOW_LIST_REGISTER	Aplicaþii
GUILDWINDOW_LIST_REGISTER_GUILD	Aplicã la breaslã
GUILDWINDOW_LIST_SEARCH	Cautã
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Te rugãm alege o breaslã sã aplici.
GUILDWINDOW_PROMOTE_REFRESH	Reclamã
GUILDWINDOW_PROMOTE_REGISTER	Reclamã
GUILDWINDOW_SP_RECOVER	Puterea Zeului Dragon
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Îmbunãtãþire Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Îmbunãtãþire Bancã
GUILD_ATTENDANCE_FAIL_ALREADY	Ai participat deja astãzi.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Nu poþi participa acum. Participarea se reseteazã zilnic la ora 5:00 AM.
GUILD_BANKINFO_CLOSE	Închis
GUILD_BANKINFO_NAME	Membru
GUILD_BANKINFO_TYPE	Obiect/Valoare
GUILD_BANKINFO_USETYPE	Acþiune
GUILD_BANK_CLOSE	Închis
GUILD_BANK_INFO	Log Depozit Breaslã
GUILD_BOARD_ID	Membru
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_FIX_CHANGE	Sigur doreºti sã schimbi poziþia?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Chiar vrei sã ºtergi acest obiect?
GUILD_BUILDING_FIX_NEED_BUILDING	Nicio clãdire prezentã.
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_LOG_PLUS	Buºtean+
GUILD_BUILDING_NAME	Numele clãdirii
GUILD_BUILDING_PLY_PLUS	Placaj+
GUILD_BUILDING_SMELT_STONE	Piatrã Runicã
GUILD_BUILDING_STONE_PLUS	Piatrã Fundaþie+
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plina.
GUILD_CHANGEMASTER_TEXT1	Noul lider va fi: %s
GUILD_CHANGEMASTER_TEXT2	Doreºti sã numeºti un nou lider de breaslã?
GUILD_CHANGEMASTER_TEXT3	Eºti sigur cã vrei sã predai
GUILD_CHANGEMASTER_TEXT4	funcþia de lider de breaslã?
GUILD_COMMENT	Scrie
GUILD_CREATE_ERROR_INSULT_NAME	Numele breslei nu este permis.
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	ªterge
GUILD_DEPOSIT	Pune deoparte
